ChiT Temperature
5.23588 2.00060
5.30990 2.18811
5.40618 2.37561
5.47750 2.56312
5.53749 2.75063
5.59756 2.93814
5.64882 3.12564
5.68768 3.31315
5.72404 3.50066
5.77032 3.68817
5.80093 3.87567
5.83651 4.06318
5.86476 4.25069
5.89054 4.43820
5.91475 4.62570
5.93981 4.81321
5.96842 5.00072
5.97797 5.18823
6.00684 5.37573
6.02115 5.56324
6.03960 5.75075
6.07062 5.93826
6.06431 6.12576
6.08507 6.31327
6.08642 6.50078
6.10521 6.68828
6.11240 6.87579
6.12543 7.06330
6.12664 7.25081
6.13933 7.43831
6.14104 7.62582
6.14515 7.81333
6.15665 8.00084
6.15665 8.18834
6.16344 8.37585
6.16289 8.56336
6.16445 8.75087
6.16071 8.93837
6.16247 9.12588
6.17214 9.31339
6.16445 9.50090
6.16288 9.68840
6.16445 9.87591
6.15990 10.06342
6.15828 10.25093
6.16443 10.43843
6.15665 10.62594
6.15665 10.81345
6.15280 11.00095
6.14884 11.18846
6.14802 11.37597
6.14104 11.56348
6.13878 11.75098
6.13324 11.93849
6.12933 12.12600
6.12543 12.31351
6.12543 12.50101
6.11763 12.68852
6.11577 12.87603
6.10667 13.06354
6.10695 13.25104
6.10202 13.43855
6.09422 13.62606
6.09304 13.81357
6.07861 14.00107
6.07861 14.18858
6.07081 14.37609
6.06301 14.56359
6.05595 14.75110
6.04740 14.93861
6.05506 15.01271
6.02710 15.88146
6.00056 16.75021
5.97542 17.61896
5.95163 18.48771
5.92917 19.35646
5.90801 20.22521
5.88810 21.09396
5.86942 21.96271
5.85194 22.83146
5.83562 23.70021
5.82042 24.56896
5.80633 25.43772
5.79329 26.30647
5.78130 27.17522
5.77004 28.04397
5.75988 28.91272
5.75116 29.78147
5.74293 30.65022
5.73562 31.51897
5.72909 32.38772
5.72358 33.25647
5.71870 34.12522
5.71433 34.99397
5.71087 35.86272
5.70818 36.73147
5.70611 37.60022
5.70412 38.46897
5.70304 39.33772
5.70193 40.20647
5.70155 41.07522
5.70180 41.94397
5.70253 42.81273
5.70344 43.68147
5.70500 44.55022
5.70677 45.41898
5.70869 46.28773
5.71079 47.15648
5.71326 48.02523
5.71558 48.89398
5.71804 49.76273
5.72072 50.63148
5.72328 51.50023
5.72593 52.36898
5.72813 53.23773
5.73091 54.10648
5.73346 54.97523
5.73612 55.84398
5.73862 56.71273
5.74119 57.58148
5.74398 58.45023
5.74696 59.31898
5.75003 60.18773
5.75291 61.05648
5.75600 61.92523
5.75910 62.79398
5.76233 63.66273
5.76575 64.53149
5.76919 65.40024
5.77264 66.26898
5.77607 67.13773
5.77946 68.00648
5.78280 68.87524
5.78607 69.74399
5.78925 70.61274
5.79231 71.48149
5.79524 72.35023
5.79803 73.21899
5.80064 74.08774
5.80307 74.95649
5.80338 75.02496
5.81299 77.56081
5.82213 80.09666
5.83083 82.63251
5.83909 85.16835
5.84691 87.70420
5.85432 90.24005
5.86131 92.77589
5.86790 95.31174
5.87410 97.84760
5.87992 100.38344
5.88537 102.91929
5.89045 105.45514
5.89518 107.99098
5.89975 110.52683
5.90386 113.06268
5.90726 115.59853
5.91033 118.13438
5.91357 120.67023
5.91608 123.20608
5.91884 125.74192
5.92123 128.27777
5.92259 130.81361
5.92510 133.34947
5.92790 135.88531
5.93000 138.42116
5.93115 140.95702
5.93164 143.49286
5.93320 146.02870
5.93481 148.56456
5.93566 151.10040
5.93528 153.63625
5.93460 156.17210
5.93517 158.70795
5.93565 161.24379
5.93585 163.77965
5.93554 166.31549
5.93555 168.85133
5.93494 171.38719
5.93456 173.92303
5.93411 176.45888
5.93312 178.99474
5.93303 181.53058
5.93268 184.06642
5.93233 186.60228
5.93214 189.13812
5.93101 191.67398
5.93094 194.20982
5.93093 196.74567
5.93198 199.28152
5.93141 201.81737
5.93121 204.35321
5.93046 206.88907
5.92928 209.42491
5.92984 211.96075
5.92802 214.49661
5.92610 217.03246
5.92477 219.56830
5.92345 222.10416
5.92217 224.64000
5.92097 227.17584
5.91988 229.71170
5.91892 232.24754
5.91812 234.78339
5.91752 237.31924
5.91715 239.85509
5.91703 242.39093
5.91719 244.92679
5.91766 247.46263
5.91848 249.99847
