Temperature   ChiT_Data      ChiT_Model      
2.00060      5.23588        5.09764     
2.18811      5.30990        5.22550     
2.37561      5.40618        5.33272     
2.56312      5.47750        5.42393     
2.75063      5.53749        5.50259     
2.93814      5.59756        5.57124     
3.12564      5.64882        5.63181     
3.31315      5.68768        5.68577     
3.50066      5.72404        5.73425     
3.68817      5.77032        5.77809     
3.87567      5.80093        5.81796     
4.06318      5.83651        5.85440     
4.25069      5.86476        5.88781     
4.43820      5.89054        5.91853     
4.62570      5.91475        5.94681     
4.81321      5.93981        5.97288     
5.00072      5.96842        5.99692     
5.18823      5.97797        6.01909     
5.37573      6.00684        6.03949     
5.56324      6.02115        6.05827     
5.75075      6.03960        6.07549     
5.93826      6.07062        6.09127     
6.12576      6.06431        6.10567     
6.31327      6.08507        6.11876     
6.50078      6.08642        6.13062     
6.68828      6.10521        6.14131     
6.87579      6.11240        6.15088     
7.06330      6.12543        6.15939     
7.25081      6.12664        6.16690     
7.43831      6.13933        6.17346     
7.62582      6.14104        6.17911     
7.81333      6.14515        6.18390     
8.00084      6.15665        6.18788     
8.18834      6.15665        6.19109     
8.37585      6.16344        6.19358     
8.56336      6.16289        6.19538     
8.75087      6.16445        6.19653     
8.93837      6.16071        6.19707     
9.12588      6.16247        6.19704     
9.31339      6.17214        6.19647     
9.50090      6.16445        6.19540     
9.68840      6.16288        6.19385     
9.87591      6.16445        6.19186     
10.06342     6.15990        6.18946     
10.25093     6.15828        6.18667     
10.43843     6.16443        6.18353     
10.62594     6.15665        6.18005     
10.81345     6.15665        6.17626     
11.00095     6.15280        6.17219     
11.18846     6.14884        6.16785     
11.37597     6.14802        6.16327     
11.56348     6.14104        6.15847     
11.75098     6.13878        6.15347     
11.93849     6.13324        6.14828     
12.12600     6.12933        6.14292     
12.31351     6.12543        6.13741     
12.50101     6.12543        6.13177     
12.68852     6.11763        6.12600     
12.87603     6.11577        6.12012     
13.06354     6.10667        6.11414     
13.25104     6.10695        6.10808     
13.43855     6.10202        6.10195     
13.62606     6.09422        6.09576     
13.81357     6.09304        6.08951     
14.00107     6.07861        6.08322     
14.18858     6.07861        6.07690     
14.37609     6.07081        6.07056     
14.56359     6.06301        6.06419     
14.75110     6.05595        6.05782     
14.93861     6.04740        6.05144     
15.01271     6.05506        6.04892     
15.88146     6.02710        6.01955     
16.75021     6.00056        5.99080     
17.61896     5.97542        5.96306     
18.48771     5.95163        5.93657     
19.35646     5.92917        5.91151     
20.22521     5.90801        5.88798     
21.09396     5.88810        5.86602     
21.96271     5.86942        5.84565     
22.83146     5.85194        5.82686     
23.70021     5.83562        5.80961     
24.56896     5.82042        5.79385     
25.43772     5.80633        5.77953     
26.30647     5.79329        5.76658     
27.17522     5.78130        5.75493     
28.04397     5.77004        5.74450     
28.91272     5.75988        5.73524     
29.78147     5.75116        5.72707     
30.65022     5.74293        5.71992     
31.51897     5.73562        5.71372     
32.38772     5.72909        5.70842     
33.25647     5.72358        5.70394     
34.12522     5.71870        5.70022     
34.99397     5.71433        5.69722     
35.86272     5.71087        5.69488     
36.73147     5.70818        5.69315     
37.60022     5.70611        5.69198     
38.46897     5.70412        5.69132     
39.33772     5.70304        5.69114     
40.20647     5.70193        5.69139     
41.07522     5.70155        5.69204     
41.94397     5.70180        5.69305     
42.81273     5.70253        5.69439     
43.68147     5.70344        5.69603     
44.55022     5.70500        5.69795     
45.41898     5.70677        5.70010     
46.28773     5.70869        5.70248     
47.15648     5.71079        5.70506     
48.02523     5.71326        5.70782     
48.89398     5.71558        5.71073     
49.76273     5.71804        5.71378     
50.63148     5.72072        5.71695     
51.50023     5.72328        5.72023     
52.36898     5.72593        5.72361     
53.23773     5.72813        5.72706     
54.10648     5.73091        5.73057     
54.97523     5.73346        5.73414     
55.84398     5.73612        5.73776     
56.71273     5.73862        5.74141     
57.58148     5.74119        5.74509     
58.45023     5.74398        5.74878     
59.31898     5.74696        5.75248     
60.18773     5.75003        5.75619     
61.05648     5.75291        5.75990     
61.92523     5.75600        5.76359     
62.79398     5.75910        5.76727     
63.66273     5.76233        5.77093     
64.53149     5.76575        5.77457     
65.40024     5.76919        5.77818     
66.26898     5.77264        5.78176     
67.13773     5.77607        5.78531     
68.00648     5.77946        5.78882     
68.87524     5.78280        5.79229     
69.74399     5.78607        5.79572     
70.61274     5.78925        5.79911     
71.48149     5.79231        5.80245     
72.35023     5.79524        5.80575     
73.21899     5.79803        5.80899     
74.08774     5.80064        5.81219     
74.95649     5.80307        5.81534     
75.02496     5.80338        5.81558     
77.56081     5.81299        5.82447     
80.09666     5.82213        5.83290     
82.63251     5.83083        5.84088     
85.16835     5.83909        5.84841     
87.70420     5.84691        5.85550     
90.24005     5.85432        5.86215     
92.77589     5.86131        5.86838     
95.31174     5.86790        5.87421     
97.84760     5.87410        5.87964     
100.38344    5.87992        5.88470     
102.91929    5.88537        5.88941     
105.45514    5.89045        5.89378     
107.99098    5.89518        5.89782     
110.52683    5.89975        5.90156     
113.06268    5.90386        5.90501     
115.59853    5.90726        5.90820     
118.13438    5.91033        5.91112     
120.67023    5.91357        5.91380     
123.20608    5.91608        5.91626     
125.74192    5.91884        5.91850     
128.27777    5.92123        5.92054     
130.81361    5.92259        5.92239     
133.34947    5.92510        5.92407     
135.88531    5.92790        5.92557     
138.42116    5.93000        5.92692     
140.95702    5.93115        5.92813     
143.49286    5.93164        5.92919     
146.02870    5.93320        5.93013     
148.56456    5.93481        5.93094     
151.10040    5.93566        5.93165     
153.63625    5.93528        5.93224     
156.17210    5.93460        5.93274     
158.70795    5.93517        5.93314     
161.24379    5.93565        5.93345     
163.77965    5.93585        5.93369     
166.31549    5.93554        5.93384     
168.85133    5.93555        5.93393     
171.38719    5.93494        5.93394     
173.92303    5.93456        5.93389     
176.45888    5.93411        5.93379     
178.99474    5.93312        5.93363     
181.53058    5.93303        5.93341     
184.06642    5.93268        5.93315     
186.60228    5.93233        5.93285     
189.13812    5.93214        5.93250     
191.67398    5.93101        5.93211     
194.20982    5.93094        5.93168     
196.74567    5.93093        5.93122     
199.28152    5.93198        5.93073     
201.81737    5.93141        5.93021     
204.35321    5.93121        5.92966     
206.88907    5.93046        5.92908     
209.42491    5.92928        5.92848     
211.96075    5.92984        5.92786     
214.49661    5.92802        5.92721     
217.03246    5.92610        5.92655     
219.56830    5.92477        5.92586     
222.10416    5.92345        5.92516     
224.64000    5.92217        5.92445     
227.17584    5.92097        5.92372     
229.71170    5.91988        5.92297     
232.24754    5.91892        5.92222     
234.78339    5.91812        5.92145     
237.31924    5.91752        5.92067     
239.85509    5.91715        5.91988     
242.39093    5.91703        5.91909     
244.92679    5.91719        5.91828     
247.46263    5.91766        5.91747     
249.99847    5.91848        5.91665     
