# This is the file MagProp.out generated on Mon Oct 28 15:25:21 2024 using the program 'MagProp',
# written by Philip Tregenna-Piggott (philip.tregenna@psi.ch).
# The model details are as follows:
# Matrix dimension: 16
# gx = 2.3800569
# gy = 2.7
# gz = 2.4764891
# J = -6.3591932 cm^-1
# D1 = -56.605870 cm^-1
# D2 = -48.202495 cm^-1
# E1 = -16.252287 cm^-1
# P8 = -25.044259 cm^-1
# Diamagnetism = -0.0005066138
Temperature   ChiT_Data      ChiT_Model      
  2.00060      5.23588        5.21283     
  2.18811      5.30990        5.31828     
  2.37561      5.40618        5.40624     
  2.56312      5.47750        5.48086     
  2.75063      5.53749        5.54518     
  2.93814      5.59756        5.60139     
  3.12564      5.64882        5.65113     
  3.31315      5.68768        5.69564     
  3.50066      5.72404        5.73585     
  3.68817      5.77032        5.77245     
  3.87567      5.80093        5.80600     
  4.06318      5.83651        5.83692     
  4.25069      5.86476        5.86552     
  4.43820      5.89054        5.89208     
  4.62570      5.91475        5.91679     
  4.81321      5.93981        5.93981     
  5.00072      5.96842        5.96129     
  5.18823      5.97797        5.98132     
  5.37573      6.00684        5.99999     
  5.56324      6.02115        6.01739     
  5.75075      6.03960        6.03358     
  5.93826      6.07062        6.04861     
  6.12576      6.06431        6.06254     
  6.31327      6.08507        6.07542     
  6.50078      6.08642        6.08728     
  6.68828      6.10521        6.09817     
  6.87579      6.11240        6.10812     
  7.06330      6.12543        6.11718     
  7.25081      6.12664        6.12537     
  7.43831      6.13933        6.13274     
  7.62582      6.14104        6.13932     
  7.81333      6.14515        6.14513     
  8.00084      6.15665        6.15022     
  8.18834      6.15665        6.15461     
  8.37585      6.16344        6.15833     
  8.56336      6.16289        6.16142     
  8.75087      6.16445        6.16390     
  8.93837      6.16071        6.16581     
  9.12588      6.16247        6.16717     
  9.31339      6.17214        6.16801     
  9.50090      6.16445        6.16836     
  9.68840      6.16288        6.16824     
  9.87591      6.16445        6.16768     
  10.06342     6.15990        6.16670     
  10.25093     6.15828        6.16533     
  10.43843     6.16443        6.16359     
  10.62594     6.15665        6.16150     
  10.81345     6.15665        6.15909     
  11.00095     6.15280        6.15637     
  11.18846     6.14884        6.15337     
  11.37597     6.14802        6.15009     
  11.56348     6.14104        6.14658     
  11.75098     6.13878        6.14283     
  11.93849     6.13324        6.13887     
  12.12600     6.12933        6.13471     
  12.31351     6.12543        6.13037     
  12.50101     6.12543        6.12586     
  12.68852     6.11763        6.12120     
  12.87603     6.11577        6.11640     
  13.06354     6.10667        6.11147     
  13.25104     6.10695        6.10643     
  13.43855     6.10202        6.10128     
  13.62606     6.09422        6.09604     
  13.81357     6.09304        6.09072     
  14.00107     6.07861        6.08533     
  14.18858     6.07861        6.07987     
  14.37609     6.07081        6.07436     
  14.56359     6.06301        6.06880     
  14.75110     6.05595        6.06320     
  14.93861     6.04740        6.05757     
  15.01271     6.05506        6.05534     
  15.88146     6.02710        6.02904     
  16.75021     6.00056        6.00284     
  17.61896     5.97542        5.97717     
  18.48771     5.95163        5.95235     
  19.35646     5.92917        5.92859     
  20.22521     5.90801        5.90606     
  21.09396     5.88810        5.88484     
  21.96271     5.86942        5.86498     
  22.83146     5.85194        5.84650     
  23.70021     5.83562        5.82940     
  24.56896     5.82042        5.81364     
  25.43772     5.80633        5.79920     
  26.30647     5.79329        5.78603     
  27.17522     5.78130        5.77406     
  28.04397     5.77004        5.76326     
  28.91272     5.75988        5.75354     
  29.78147     5.75116        5.74487     
  30.65022     5.74293        5.73717     
  31.51897     5.73562        5.73038     
  32.38772     5.72909        5.72446     
  33.25647     5.72358        5.71933     
  34.12522     5.71870        5.71496     
  34.99397     5.71433        5.71128     
  35.86272     5.71087        5.70824     
  36.73147     5.70818        5.70581     
  37.60022     5.70611        5.70393     
  38.46897     5.70412        5.70257     
  39.33772     5.70304        5.70168     
  40.20647     5.70193        5.70123     
  41.07522     5.70155        5.70118     
  41.94397     5.70180        5.70150     
  42.81273     5.70253        5.70216     
  43.68147     5.70344        5.70313     
  44.55022     5.70500        5.70438     
  45.41898     5.70677        5.70588     
  46.28773     5.70869        5.70763     
  47.15648     5.71079        5.70958     
  48.02523     5.71326        5.71173     
  48.89398     5.71558        5.71405     
  49.76273     5.71804        5.71652     
  50.63148     5.72072        5.71913     
  51.50023     5.72328        5.72187     
  52.36898     5.72593        5.72471     
  53.23773     5.72813        5.72765     
  54.10648     5.73091        5.73068     
  54.97523     5.73346        5.73378     
  55.84398     5.73612        5.73694     
  56.71273     5.73862        5.74015     
  57.58148     5.74119        5.74341     
  58.45023     5.74398        5.74670     
  59.31898     5.74696        5.75002     
  60.18773     5.75003        5.75336     
  61.05648     5.75291        5.75671     
  61.92523     5.75600        5.76007     
  62.79398     5.75910        5.76344     
  63.66273     5.76233        5.76680     
  64.53149     5.76575        5.77015     
  65.40024     5.76919        5.77350     
  66.26898     5.77264        5.77683     
  67.13773     5.77607        5.78014     
  68.00648     5.77946        5.78343     
  68.87524     5.78280        5.78670     
  69.74399     5.78607        5.78993     
  70.61274     5.78925        5.79314     
  71.48149     5.79231        5.79632     
  72.35023     5.79524        5.79946     
  73.21899     5.79803        5.80257     
  74.08774     5.80064        5.80564     
  74.95649     5.80307        5.80868     
  75.02496     5.80338        5.80892     
  77.56081     5.81299        5.81754     
  80.09666     5.82213        5.82580     
  82.63251     5.83083        5.83369     
  85.16835     5.83909        5.84120     
  87.70420     5.84691        5.84834     
  90.24005     5.85432        5.85509     
  92.77589     5.86131        5.86148     
  95.31174     5.86790        5.86750     
  97.84760     5.87410        5.87317     
  100.38344    5.87992        5.87849     
  102.91929    5.88537        5.88349     
  105.45514    5.89045        5.88816     
  107.99098    5.89518        5.89253     
  110.52683    5.89975        5.89661     
  113.06268    5.90386        5.90041     
  115.59853    5.90726        5.90394     
  118.13438    5.91033        5.90722     
  120.67023    5.91357        5.91025     
  123.20608    5.91608        5.91306     
  125.74192    5.91884        5.91565     
  128.27777    5.92123        5.91803     
  130.81361    5.92259        5.92021     
  133.34947    5.92510        5.92221     
  135.88531    5.92790        5.92403     
  138.42116    5.93000        5.92568     
  140.95702    5.93115        5.92717     
  143.49286    5.93164        5.92851     
  146.02870    5.93320        5.92971     
  148.56456    5.93481        5.93077     
  151.10040    5.93566        5.93170     
  153.63625    5.93528        5.93251     
  156.17210    5.93460        5.93321     
  158.70795    5.93517        5.93380     
  161.24379    5.93565        5.93428     
  163.77965    5.93585        5.93466     
  166.31549    5.93554        5.93495     
  168.85133    5.93555        5.93515     
  171.38719    5.93494        5.93527     
  173.92303    5.93456        5.93531     
  176.45888    5.93411        5.93527     
  178.99474    5.93312        5.93516     
  181.53058    5.93303        5.93498     
  184.06642    5.93268        5.93474     
  186.60228    5.93233        5.93444     
  189.13812    5.93214        5.93408     
  191.67398    5.93101        5.93366     
  194.20982    5.93094        5.93320     
  196.74567    5.93093        5.93268     
  199.28152    5.93198        5.93211     
  201.81737    5.93141        5.93150     
  204.35321    5.93121        5.93085     
  206.88907    5.93046        5.93015     
  209.42491    5.92928        5.92942     
  211.96075    5.92984        5.92865     
  214.49661    5.92802        5.92785     
  217.03246    5.92610        5.92701     
  219.56830    5.92477        5.92614     
  222.10416    5.92345        5.92524     
  224.64000    5.92217        5.92432     
  227.17584    5.92097        5.92336     
  229.71170    5.91988        5.92238     
  232.24754    5.91892        5.92138     
  234.78339    5.91812        5.92035     
  237.31924    5.91752        5.91930     
  239.85509    5.91715        5.91823     
  242.39093    5.91703        5.91713     
  244.92679    5.91719        5.91602     
  247.46263    5.91766        5.91489     
  249.99847    5.91848        5.91375     
