B_exp (T),M_exp (emu/mol)
3.931894749403e-05,0.3691667065983584
0.00921553573608398,0.4809985104527549
0.0389440795898438,159.0874844098826
0.0453150344848633,232.16913349354954
0.0568276718139648,300.92409231890525
0.0985467041015625,552.9127779291128
0.106004772949219,614.5758423095876
0.1276150390625,736.3472518405747
0.134039312744141,796.990831380033
0.146879870605469,858.0904828603502
0.159766015625,980.8514306740879
0.17218993530273402,1042.2174422526884
0.185131201171875,1103.6258480725733
0.20555152587890602,1226.2971230921123
0.222393212890625,1287.5401360594628
0.238218798828125,1409.6922644798126
0.24404471435546898,1469.6779883657578
0.255305847167969,1528.7862312915358
0.276459973144531,1649.01415007545
0.28346531982421896,1710.161130099175
0.294975732421875,1771.3659257481381
0.307475219726562,1893.7539752286316
0.320982592773438,1954.8749624365885
0.332994921875,2015.8839005147968
0.35404420166015604,2137.833598583846
0.369578625488281,2198.705234840291
0.37708125,2320.2562645050516
0.398559985351562,2380.7923937324035
0.406088525390625,2441.441677175293
0.41962424316406294,2562.4194431872875
0.43212722167968703,2622.94011631187
0.44364006347656204,2683.506082127427
0.488148095703125,2924.8855468379247
0.504155249023438,3044.941215048645
0.52165693359375,3104.9707804786813
0.529156494140625,3225.017264565275
0.542166162109375,3284.4871424359894
0.554661840820313,3344.3706607112217
0.575195141601562,3463.4037003669227
0.5817031494140621,3522.9918507315474
0.6031896484375,3642.2619056443705
0.619181591796875,3701.438195245876
0.626666577148438,3760.612109190275
0.6396512451171871,3878.769308985608
0.651166577148438,3937.591937753616
0.66268720703125,3996.5102062152173
0.67367353515625,4055.497846161672
0.6841845703125,4114.288072972343
0.70518515625,4231.66014942235
0.712220556640625,4289.967376786837
0.73468740234375,4407.003232684068
0.7506913330078121,4465.335006964368
0.758180297851562,4581.4833532011135
0.770182250976563,4639.391959017899
0.782194409179688,4697.622317499041
0.803682666015625,4812.854369332272
0.819659545898438,4870.525133207292
0.8356703125,4985.279642967833
0.841665625,5042.986565208741
0.852663623046875,5100.197275943977
0.865175341796875,5157.18931377232
0.887217431640625,5271.606805601352
0.8937126953125,5328.359499953635
0.906708203125,5384.931902700086
0.9197330078125,5498.079521154895
0.932248046875,5554.476733153956
0.945244921875,5610.825319634067
0.95873876953125,5722.998666677575
0.97174482421875,5779.705473294294
0.983213671875,5835.617028292061
0.995694677734375,5890.949873054719
1.0182260253906201,6002.105954549481
1.03424951171875,6113.041004459022
1.04071640625,6168.743980525846
1.05271005859375,6223.423576844302
1.06474946289062,6278.685835687334
1.08520668945312,6388.459328847825
1.0922475097656201,6442.773120197943
