MagneticField(Oe) Temperature(K) Moment(emu) M(emu/g) ChiT(emu/Oeg)
99,5195159912109 3,005208 2,00814303829561E-4 0,00702147915487976 0,010048280380386
184,458274841309 3,0045571 0,00182419998590741 0,0637832162904689 0,00542128023728027
307,398956298828 3,0137751 0,00701085561765116 0,245134811805985 0,00325310148102091
840,786346435547 3,0038233 0,0524820785010996 1,83503770982866 0,001189362796196
990,439727783203 3,00705455 0,059356005314811 2,07538480121717 0,00100965255325349
1054,94644165039 3,00680245 0,0662260508541998 2,31559618371328 9,47915420649763E-4
1177,55975341797 3,00545575 0,0797947266374665 2,79002540690442 8,49213806006373E-4
1294,71350097656 3,0042262 0,0864433955442427 3,02249634770079 7,72371647662385E-4
1413,28375244141 3,0058117 0,0931042440867018 3,25539314988468 7,07571992016838E-4
1542,3359375 3,0061896 0,0999130819794164 3,4934644048747 6,48367178437739E-4
1661,97436523438 3,0058367 0,10666887311479 3,72968087813951 6,01693997764505E-4
1771,77545166016 3,0064889 0,120043410825167 4,19732205682402 5,64405607416559E-4
2214,11901855469 3,0053771 0,146559138637957 5,12444540692157 4,51646904082315E-4
2278,65368652344 3,00406885 0,153167578289048 5,35550973038629 4,38855630372559E-4
2396,42321777344 3,00261625 0,159558094137796 5,57895434048238 4,17288562630902E-4
2590,87475585938 3,0042839 0,165756829279883 5,79569333146444 3,85970027203536E-4
2659,73889160156 3,0053085 0,178242465556447 6,23225404043521 3,75976755897964E-4
2783,86145019531 3,0051627 0,184652466111295 6,45637993396136 3,59213279069561E-4
2893,6259765625 3,00386895 0,191017751307674 6,67894235341517 3,45587165756632E-4
3103,76184082031 3,0046823 0,203492476661005 7,1151215615736 3,22189668952082E-4
3178,80895996094 3,00441315 0,209795049061548 7,33549122592825 3,14583233090009E-4
3400,17834472656 3,0047209 0,216082041552424 7,55531613819665 2,94102220123521E-4
3470,00817871094 3,00457295 0,228329631634118 7,98355355364049 2,88183758797792E-4
3580,6015625 3,00305805 0,234440477092121 8,19721947874549 2,79282679891865E-4
3780,77795410156 3,0047817 0,240293185546237 8,40185963448381 2,64495829202335E-4
3946,06921386719 3,0032279 0,252306570628703 8,82190806394066 2,53416741015546E-4
4095,68786621094 3,0045638 0,263912127463775 9,22769676446766 2,44159231041484E-4
4261,31005859375 3,0032182 0,269610440518881 9,42693847968115 2,34669617148207E-4
4331,19677734375 3,00311425 0,275420254181228 9,63007881752545 2,3088306798503E-4
4461,37109375 3,00394965 0,286649766998796 10,022719125832 2,24146339541428E-4
4576,45825195313 3,0050273 0,292118995428162 10,2139508890966 2,18509586441267E-4
4691,30444335937 3,0048573 0,297668159760839 10,4079776140153 2,13160329301484E-4
4821,25610351562 3,0042158 0,303220545776952 10,6021169852081 2,07414826868626E-4
4951,2548828125 3,0040123 0,313948100568301 10,977206313577 2,01969000519715E-4
5071,21240234375 3,00415325 0,319205173479667 11,1610200517366 1,97191503857703E-4
5191,169921875 3,00453925 0,324408811135005 11,3429654243009 1,92634803916958E-4
